CountryName,RegionName,Code,Population2020,AreaKm2,PopulationDensityPerKm2,CaseFatalityJHDBFeb2021
Afghanistan,,AFG,38928346,652230,59.685,4.4
Albania,,ALB,2877797,28748,100.104,1.7
Algeria,,DZA,43851044,2381741,18.411,2.7
Andorra,,AND,77265,468,165.096,1
Angola,,AGO,32866272,1246700,26.363,2.4
Argentina,,ARG,45195774,2780400,16.255,2.5
Aruba,,ABW,106766,180,593.144,
Australia,,AUS,25499884,7692024,3.315,3.2
Austria,,AUT,9006398,83871,107.384,1.9
Azerbaijan,,AZE,10139177,86600,117.081,1.4
Bahamas,,BHS,393244,13943,28.204,2.1
Bahrain,,BHR,1701575,765,2224.281,0.4
Bangladesh,,BGD,164689383,147570,1116.009,1.5
Barbados,,BRB,287375,430,668.314,0.9
Belarus,,BLR,9449323,207600,45.517,0.7
Belgium,,BEL,11589623,30528,379.639,3
Belize,,BLZ,397628,22966,17.314,2.5
Benin,,BEN,12123200,112622,107.645,1.3
Bermuda,,BMU,62278,54,1153.296,
Bhutan,,BTN,771608,38394,20.097,
Bolivia,,BOL,11673021,1098581,10.626,4.8
Bosnia and Herzegovina,,BIH,3280819,51209,64.067,3.9
Botswana,,BWA,2351627,582000,4.041,0.7
Brazil,,BRA,212559417,8515767,24.961,2.4
Brunei,,BRN,437479,5765,75.885,1.7
Bulgaria,,BGR,6948445,110879,62.667,4.2
Burkina Faso,,BFA,20903273,272967,76.578,1.2
Burundi,,BDI,11890784,27834,427.204,
Cambodia,,KHM,16718965,181035,92.352,
Cameroon,,CMR,26545863,475442,55.834,1.6
Canada,,CAN,37742154,9984670,3.78,2.6
Cape Verde,,CPV,555987,4033,137.859,0.9
Central African Republic,,CAF,4829767,622984,7.753,1.3
Chad,,TCD,16425864,1284000,12.793,3.6
Chile,,CHL,19116201,756102,25.283,2.5
China,,CHN,1439323776,9706961,148.277,4.8
Colombia,,COL,50882891,1141748,44.566,2.6
Comoros,,COM,869601,1862,467.025,3.5
Congo,,COG,5518087,342000,16.135,2.9
Costa Rica,,CRI,5094118,51100,99.689,1.4
Cote d'Ivoire,,CIV,26378274,318003,82.95,0.6
Croatia,,HRV,4105267,56594,72.539,2.2
Cuba,,CUB,11326616,109884,103.078,0.8
Cyprus,,CYP,1207359,9251,130.511,0.6
Czech Republic,,CZE,10708981,78865,135.789,1.7
Democratic Republic of Congo,,COD,89561403,2344858,38.195,1.5
Denmark,,DNK,5792202,43094,134.409,1.1
Djibouti,,DJI,988000,23200,42.586,1.1
Dominica,,DMA,71986,751,95.854,
Dominican Republic,,DOM,10847910,48671,222.882,1.3
Ecuador,,ECU,17643054,276841,63.73,5.9
Egypt,,EGY,102334404,1002450,102.084,5.6
El Salvador,,SLV,6486205,21041,308.265,3
Eritrea,,ERI,3546421,117600,30.157,0.3
Estonia,,EST,1326535,45227,29.331,0.9
